TextToParse,Address1,Address2,City,State,Zip_Code
"10794 PINES BOULEVARD SUITE 205, PEMBROKE PINES, Florida 33026",10794 PINES BOULEVARD,SUITE 205,PEMBROKE PINES,Florida,33026
"1080 NW 19 STREET JMH DTC BUILDING, MIAMI, Florida 33136",1080 NW 19 STREET,JMH DTC BUILDING,MIAMI,Florida,33136
"1085 KANE COCOURSE, BAY HARBOR ISLAND, Florida 33154",1085 KANE COCOURSE,,BAY HARBOR ISLAND,Florida,33154
"1085 KANE CONCOURSE, BAY HARBOR IS, Florida 33154-2105",1085 KANE CONCOURSE,,BAY HARBOR IS,Florida,33154-2105
"1085 KANE CONCOURSE, BAY HARBOR ISLANDS, Florida 33154-2105",1085 KANE CONCOURSE,,BAY HARBOR ISLANDS,Florida,33154-2105
"10850 SW 184 ST, PERRINE, Florida 33157",10850 SW 184 ST,,PERRINE,Florida,33157
"10850 SW 184th ST, CUTLER BAY, Florida 33157",10850 SW 184th ST,,CUTLER BAY,Florida,33157
"10850 SW 184TH ST, CUTLER BAY, Florida 33157-6737",10850 SW 184TH ST,,CUTLER BAY,Florida,33157-6737
"109 A JOHN F. KENNEDY DRIVE, ATLANTIS, Florida 33462",109 A JOHN F. KENNEDY DRIVE,,ATLANTIS,Florida,33462
"109 JOHN F KENNEDY DR STE A, ATLANTIS, Florida 33462-6617",109 JOHN F KENNEDY DR,STE A,ATLANTIS,Florida,33462-6617
"10910 PEMBROKE RD, MIRAMAR, Florida 33025-1706",10910 PEMBROKE RD,,MIRAMAR,Florida,33025-1706
"10950 PINES BLVD, PEMBROKE PINES, Florida 33026-5208",10950 PINES BLVD,,PEMBROKE PINES,Florida,33026-5208
"1097 S LE JEUNE RD, CORAL GABLES, Florida 33134-2639",1097 S LE JEUNE RD,,CORAL GABLES,Florida,33134-2639
"1097 S LE JEUNE RD, MIAMI, Florida 33134-2639",1097 S LE JEUNE RD,,MIAMI,Florida,33134-2639
"1097 S Le Jeune Rd Fl 2, Miami, Florida 33134-2639",1097 S Le Jeune Rd,Fl 2,Miami,Florida,33134-2639
"1097 S LEJUNE RD, MIAMI, Florida 33134",1097 S LEJUNE RD,,MIAMI,Florida,33134
"1097 S. LE JEUNE RD, CORAL GABLES, Florida 33134",1097 S. LE JEUNE RD,,CORAL GABLES,Florida,33134
"1097 S. LEJENUE RD, CORAL GABLES, Florida 33134",1097 S. LEJENUE RD,,CORAL GABLES,Florida,33134
"1097 S. LEJEUNE RD, CORAL GABLES, Florida 33134",1097 S. LEJEUNE RD,,CORAL GABLES,Florida,33134
"1097 S. LEJUNE ROAD STE#2240, MIAMI, Florida 33134",1097 S. LEJUNE ROAD,STE#2240,MIAMI,Florida,33134
"1097 SW LeJeune Rd 3er Floor, Coral Gables, Florida 33134",1097 SW LeJeune Rd 3er Floor,,Coral Gables,Florida,33134
"10990 BISCAYNE BLVD SUITE 19, MIAMI, Florida 33161",10990 BISCAYNE BLVD,SUITE 19,MIAMI,Florida,33161
"10990 Biscayne Blvd SUITE 19, Miami Shores, Florida 33161-7570",10990 Biscayne Blvd,SUITE 19,Miami Shores,Florida,33161-7570
"10990 BISCAYNE BLVD UNIT 19, MIAMI, Florida 33161-7572",10990 BISCAYNE BLVD,UNIT 19,MIAMI,Florida,33161-7572
"10990 BISCAYNE BLVD UNIT 19, MIAMI SHORES, Florida 33161",10990 BISCAYNE BLVD,UNIT 19,MIAMI SHORES,Florida,33161
"110 N FEDERAL HWY STE 201, HALLANDALE BEACH, Florida 33009-4300",110 N FEDERAL HWY,STE 201,HALLANDALE BEACH,Florida,33009-4300
"1100 NE 125TH ST, NORTH MIAMI, Florida 33161-5044",1100 NE 125TH ST,,NORTH MIAMI,Florida,33161-5044
"1100 NW 95 ST, MIAMI, Florida 33150",1100 NW 95 ST,,MIAMI,Florida,33150
"1100 NW 95TH ST, MIAMI, Florida 33150",1100 NW 95TH ST,,MIAMI,Florida,33150
"1100 NW 95TH ST, MIAMI, Florida 33150-2038",1100 NW 95TH ST,,MIAMI,Florida,33150-2038
"1100 NW 95TH STREET, MIAMI, Florida 33150",1100 NW 95TH STREET,,MIAMI,Florida,33150
"1100 SW 57TH AVE PH 2, MIAMI, Florida 33144",1100 SW 57TH AVE,PH 2,MIAMI,Florida,33144
"1100 W 79TH ST APT B6, HIALEAH, Florida 33014-3582",1100 W 79TH ST APT B6,,HIALEAH,Florida,33014-3582
"11011 Sheridan St Ste 101, Hollywood, Florida 33026",11011 Sheridan St,Ste 101,Hollywood,Florida,33026
"11011 SHERIDAN ST STE 109, HOLLYWOOD, Florida 33026-1501",11011 SHERIDAN ST,STE 109,HOLLYWOOD,Florida,33026-1501
"11011 SHERIDAN STREET SUITE 105, COOPER CITY, Florida 33026",11011 SHERIDAN STREET SUITE 105,,COOPER CITY,Florida,33026
"11020 SW 88 ST STE 106, MIAMI, Florida 33176",11020 SW 88 ST STE 106,,MIAMI,Florida,33176
"11020 SW 88TH ST STE 102C, MIAMI, Florida 33176-1217",11020 SW 88TH ST,STE 102C,MIAMI,Florida,33176-1217
"11020 SW 88th St Ste 106, Miami, Florida 33176",11020 SW 88th St,Ste 106,Miami,Florida,33176
"11025 SW 84TH ST COTTAGE 12, MIAMI, Florida 33173",11025 SW 84TH ST COTTAGE 12,,MIAMI,Florida,33173
"11040 SW 184TH ST, CUTLER BAY, Florida 33157-6602",11040 SW 184TH ST,,CUTLER BAY,Florida,33157-6602
"11098 BISCAYNE BLVD STE 200, MIAMI, Florida 33161-7486",11098 BISCAYNE BLVD,STE 200,MIAMI,Florida,33161-7486
"11099 SW 8TH ST BUILDING PG 6. STE 160, MIAMI, Florida 33199-0001",11099 SW 8TH ST,BUILDING PG 6. STE 160,MIAMI,Florida,33199-0001
"1111 AMSTERDAM AVE, NEW YORK, New York 10025",1111 AMSTERDAM AVE,,NEW YORK,New York,10025
"1111 KANE CONCOURSE STE 511, BAY HARBOR ISLANDS, Florida 33154-2043",1111 KANE CONCOURSE,STE 511,BAY HARBOR ISLANDS,Florida,33154-2043
"11110 SW 88TH ST, MIAMIF, Florida 33176",11110 SW 88TH ST,,MIAMIF,Florida,33176
"11140 SW 88 ST # 100, MIAMI, Florida 33176",11140 SW 88 ST # 100,,MIAMI,Florida,33176
"11140 SW 88TH ST S-100, MIAMI, Florida 33176-0901",11140 SW 88TH ST,S-100,MIAMI,Florida,33176-0901
"1115 NW 14 STREET, MIAMI, Florida 33136",1115 NW 14 STREET,,MIAMI,Florida,33136
"11160 SW 88TH ST SUITE 111, MIAMI, Florida 33176",11160 SW 88TH ST,SUITE 111,MIAMI,Florida,33176
"1117 N OLIVE AVE STE 203, WEST PALM BEACH, Florida 33401-3520",1117 N OLIVE AVE,STE 203,WEST PALM BEACH,Florida,33401-3520
"1120 Northwest 14th Street, Floor 5, MIAMI, Florida 33136","1120 Northwest 14th Street, Floor 5",,MIAMI,Florida,33136
"1120 NW  14TH STREET, MIAMI, Florida 33136",1120 NW  14TH STREET,,MIAMI,Florida,33136
"1120 NW 14 STREET SUITE 1356, MIAMI, Florida 33136",1120 NW 14 STREET,SUITE 1356,MIAMI,Florida,33136
"1120 NW 14TH ST, MIAMI, Florida 33136",1120 NW 14TH ST,,MIAMI,Florida,33136
"1120 NW 14TH ST, MIAMI, Florida 33136-2107",1120 NW 14TH ST,,MIAMI,Florida,33136-2107
"1120 NW 14TH ST 5 FLOOR, MIAMI, Florida 33136",1120 NW 14TH ST,5 FLOOR,MIAMI,Florida,33136
"1120 NW 14TH ST 5TH FLOOR, MIAMI, Florida 33136",1120 NW 14TH ST,5TH FLOOR,MIAMI,Florida,33136
"1120 NW 14TH ST FL 5, MIAMI, Florida 33136-2107",1120 NW 14TH ST,FL 5,MIAMI,Florida,33136-2107
"1120 NW 14TH ST FLOOR 5, MIAMI, Florida 33136-2107",1120 NW 14TH ST,FLOOR 5,MIAMI,Florida,33136-2107
"1120 NW 14TH ST STE 101, MIAMI, Florida 33136-2107",1120 NW 14TH ST,STE 101,MIAMI,Florida,33136-2107
"1120 NW 14TH ST CRB 1132, Miami, Florida 33136",1120 NW 14TH ST CRB 1132,,Miami,Florida,33136
"1120 NW 14TH ST FL 5, MIAMI, Florida 33136-2107",1120 NW 14TH ST FL 5,,MIAMI,Florida,33136-2107
"1120 NW 14th St floor 5, MIAMI, Florida 33136",1120 NW 14th St floor 5,,MIAMI,Florida,33136
"1120 NW 14TH ST STE 1136, C 216, MIAMI, Florida 33136","1120 NW 14TH ST STE 1136, C 216",,MIAMI,Florida,33136
"1120 NW 14TH ST SUITE 1133, MIAMI, Florida 33136",1120 NW 14TH ST SUITE 1133,,MIAMI,Florida,33136
"1120 NW 14TH STREET 5 FLOOR MIAMI FL, MIAMI, Florida 33136",1120 NW 14TH STREET,5 FLOOR MIAMI FL,MIAMI,Florida,33136
"1120 NW 14TH STREET FLOOR 5, MIAMI, Florida 33136",1120 NW 14TH STREET,FLOOR 5,MIAMI,Florida,33136
"1120 NW 14TH STREET SUITE 101, MIAMI, Florida 33136",1120 NW 14TH STREET,SUITE 101,MIAMI,Florida,33136
"11231 NW 20th ST STE 139, Miami, Florida 33172",11231 NW 20th ST,STE 139,Miami,Florida,33172
"11251 NW 20 ST # 103, MIAMI, Florida 33172",11251 NW 20 ST # 103,,MIAMI,Florida,33172
"1130 NW 14TH ST, MIAMI, Florida 33136",1130 NW 14TH ST,,MIAMI,Florida,33136
"1131 N 35TH AVE STE 330, HOLLYWOOD, Florida 33021-5403",1131 N 35TH AVE,STE 330,HOLLYWOOD,Florida,33021-5403
"11410 N KENDALL DR, MIAMI, Florida 33176-1031",11410 N KENDALL DR,,MIAMI,Florida,33176-1031
"11410 N Kendall Dr Ste 101, MIAMI, Florida 33176",11410 N Kendall Dr Ste 101,,MIAMI,Florida,33176
"11410 N KENDALL DR STE 311, MIAMI, Florida 33176-1031",11410 N KENDALL DR STE 311,,MIAMI,Florida,33176-1031
"11430 SW 88 ST SUITE D309, MIAMI, Florida 33173",11430 SW 88 ST,SUITE D309,MIAMI,Florida,33173
"11450 QUAIL ROOST DR, MIAMI, Florida 33157-6546",11450 QUAIL ROOST DR,,MIAMI,Florida,33157-6546
"11452 Quail Roost Dr, Miami, Florida 33157",11452 Quail Roost Dr,,Miami,Florida,33157
"11476 OKEECHOBEE BLVD, Royal Palm Beach, Florida 33411",11476 OKEECHOBEE BLVD,,Royal Palm Beach,Florida,33411
"115 E LANCASTER RD, ORLANDO, Florida 32809-6689",115 E LANCASTER RD,,ORLANDO,Florida,32809-6689
"1150 CAMPO SANO - 1ST FLOOR, CORAL GABLES, Florida 33146",1150 CAMPO SANO - 1ST FLOOR,,CORAL GABLES,Florida,33146
"1150 CAMPO SANO AVE, CORAL GABLE, Florida 33146",1150 CAMPO SANO AVE,,CORAL GABLE,Florida,33146
"1150 Campo Sano Ave, Coral Gables, Florida 33146",1150 Campo Sano Ave,,Coral Gables,Florida,33146
"1150 CAMPO SANO AVE, CORAL GABLES, Florida 33146-1174",1150 CAMPO SANO AVE,,CORAL GABLES,Florida,33146-1174
"1150 CAMPO SANO AVE 2ND FLOOR, CORAL GABLE, Florida 33146",1150 CAMPO SANO AVE,2ND FLOOR,CORAL GABLE,Florida,33146
"1150 Campo Sano Ave  SUITE 400, CORAL GABLES, Florida 33146",1150 Campo Sano Ave  SUITE 400,,CORAL GABLES,Florida,33146
"1150 CAMPO SANO AVENUE SUITE420, Coral Gables, Florida 33146",1150 CAMPO SANO AVENUE SUITE420,,Coral Gables,Florida,33146
"1150 N 35 AVE STE-540, HOLLYWOOD, Florida 33021",1150 N 35 AVE,STE-540,HOLLYWOOD,Florida,33021
"1150 N 35TH AVE, HOLLYWOOD, Florida 33021",1150 N 35TH AVE,,HOLLYWOOD,Florida,33021
"1150 N 35TH AVE, HOLLYWOOD, Florida 33021-5424",1150 N 35TH AVE,,HOLLYWOOD,Florida,33021-5424
"1150 N 35TH AVE STE 300, HOLLYWOOD, Florida 33021-5428",1150 N 35TH AVE,STE 300,HOLLYWOOD,Florida,33021-5428
"1150 N 35TH AVE STE 330, HOLLYWOOD, Florida 33021-5488",1150 N 35TH AVE,STE 330,HOLLYWOOD,Florida,33021-5488
"1150 N 35TH AVE STE 390, HOLLYWOOD, Florida 33021-5429",1150 N 35TH AVE,STE 390,HOLLYWOOD,Florida,33021-5429
"1150 N 35TH AVE STE 445, HOLLYWOOD, Florida 33021-5430",1150 N 35TH AVE,STE 445,HOLLYWOOD,Florida,33021-5430
"1150 N 35TH AVE STE 460, HOLLYWOOD, Florida 33021-5430",1150 N 35TH AVE,STE 460,HOLLYWOOD,Florida,33021-5430
"1150 N 35TH AVE STE 540, HOLLYWOOD, Florida 33021-5431",1150 N 35TH AVE,STE 540,HOLLYWOOD,Florida,33021-5431
"1150 N 35TH AVE STE 590, HOLLYWOOD, Florida 33021-5468",1150 N 35TH AVE,STE 590,HOLLYWOOD,Florida,33021-5468
"1150 N 35TH AVE STE 600, HOLLYWOOD, Florida 33021-5431",1150 N 35TH AVE,STE 600,HOLLYWOOD,Florida,33021-5431
"1150 N 35TH AVE STE 605, HOLLYWOOD, Florida 33021-5431",1150 N 35TH AVE,STE 605,HOLLYWOOD,Florida,33021-5431
"1150 N 35TH AVE STE 620, HOLLYWOOD, Florida 33021-5432",1150 N 35TH AVE,STE 620,HOLLYWOOD,Florida,33021-5432
"1150 N 35TH AVE STE 660, HOLLYWOOD, Florida 33021-5471",1150 N 35TH AVE,STE 660,HOLLYWOOD,Florida,33021-5471
